OrderID,Date,Store,Region,Category,Product,Units,Unit_Price,Discount,Revenue,Profit,SalesRep
ORD105627,2023-01-01 01:34:00,Chandigarh,North,Apparel,Sports Jacket,12.0,2018.58,0.0,24222.96,4523.24,D. Joshi
ORD105119,2023-01-01 02:15:00,Lucknow,North,Home Goods,Table Lamp,7.0,554.92,0.2,3107.55,1037.98,P. Verma
ORD105635,2023-01-01 02:25:00,Ahmedabad,West,Groceries,Cooking Oil 1L,10.0,791.24,0.0,7912.4,2666.61,A. Sharma
ORD106553,2023-01-01 03:17:00,Hyderabad,South,Electronics,Smartwatch,5.0,593.93,0.05,2821.17,797.16,T. Banerjee
ORD102698,2023-01-01 05:11:00,Chennai,South,Apparel,Saree,8.0,456.29,0.1,3285.29,,T. Banerjee
ORD103400,2023-01-01 05:26:00,Ahmedabad,West,Toys  ,Remote Control Car,13.0,1457.35,0.0,18945.55,4581.25,N. Gupta
ORD102410,2023-01-01 05:44:00,Lucknow,North,Apparel,Denim Jeans,8.0,1701.1,0.15,11567.48,3059.09,M. Khan
ORD106770,2023-01-01 07:46:00,Mumbai,West,Home Goods,Non-stick Pan,4.0,1798.76,0.0,7195.04,1493.54,D. Joshi
ORD106465,2023-01-01 10:14:00,Mumbai,West,Apparel,Cotton Kurta,14.0,1084.18,0.1,13660.67,1495.89,N. Gupta
ORD103561,2023-01-01 10:37:00,Hyderabad,South,Toys,Soft Toy Bear,10.0,1577.9,0.0,15779.0,4870.18,N. Gupta
ORD108436,2023-01-01 15:35:00,Chennai,South,Toys,Building Blocks Set,10.0,728.81,0.0,7288.1,1218.42,P. Verma
ORD106207,2023-01-01 16:57:00,Patna,East,  Groceries,Cooking Oil 1L,6.0,433.8,0.0,2602.8,299.74,A. Sharma
ORD107499,2023-01-01 17:16:00,Hyderabad,South,Apparel,Saree,4.0,322.69,0.05,1226.22,224.0,P. Verma
ORD106344,2023-01-01 17:56:00,Mumbai,West, Toys ,Building Blocks Set,9.0,894.2,0.05,7645.41,1119.81,N. Gupta
ORD104595,2023-01-01 18:09:00,Lucknow,North,Apparel,Denim Jeans,3.0,1869.83,0.0,5609.49,1289.66,M. Khan
ORD105074,2023-01-01 18:24:00,Kolkata,East,Electronics,Wireless Earbuds,10.0,1118.4,0.0,11184.0,3577.3,A. Sharma
ORD104230,2023-01-01 18:56:00,Kolkata,East,Home Goods,Curtain Set,8.0,2006.01,0.0,16048.08,5218.39,V. Reddy
ORD106796,2023-01-01 19:35:00,Lucknow,North,Apparel,Denim Jeans,13.0,765.76,0.15,8461.65,1808.39,D. Joshi  
ORD100828,2023-01-01 19:40:00,Chandigarh,North,Toys,Puzzle 500pc,3.0,1406.84,0.15,3587.44,1052.0,S. Nair
ORD109711,2023-01-01 19:49:00,Ahmedabad,West,Apparel,Denim Jeans,2.0,1105.13,0.05,2099.75,611.98,R. Iyer
ORD105269,2023-01-01 21:05:00,Hyderabad,South,Apparel,Denim Jeans,7.0,1237.96,0.15,7365.86,2409.14,P. Verma
ORD108685,2023-01-01 21:33:00,Mumbai,West,Electronics,LED Monitor,13.0,2513.8,0.05,31045.43,8428.52,D. Joshi
ORD102981,2023-01-01 21:36:00,Hyderabad,South,Toys,Soft Toy Bear,8.0,793.81,0.0,6350.48,1997.31,K. Menon
ORD103161,2023-01-01 23:26:00,Hyderabad,South,Apparel,Sports Jacket,14.0,,0.0,29435.14,8867.96,M. Khan
ORD106824,2023-01-01 23:39:00,Kolkata,East,Apparel,Formal Shirt,7.0,2220.73,0.0,15545.11,4420.26,N. Gupta
ORD108343,2023-01-02 00:06:00,Kolkata,East,Groceries,Spice Combo Pack,9.0,534.93,0.1,4332.93,1471.76,V. Reddy
ORD103032,2023-01-02 00:22:00,Pune,West,Home Goods,Storage Box,11.0,2019.32,0.15,18880.64,3064.19,A. Sharma
ORD103709,2023-01-02 00:36:00,Chennai,South,Apparel,Denim Jeans,4.0,797.43,0.0,3189.72,812.77,S. Nair
ORD108675,2023-01-02 01:34:00,Lucknow,North,Electronics,Wireless Earbuds,4.0,1835.4,0.0,7341.6,1043.65,V. Reddy
ORD109882,2023-01-02 03:09:00,Delhi,North,Electronics,Wireless Earbuds,1.0,594.38,0.0,594.38,192.07,T. Banerjee
ORD107382,2023-01-02 03:17:00,Chennai,South,Electronics,Bluetooth Speaker,2.0,1755.09,0.0,3510.18,870.82,R. Iyer
ORD100352,2023-01-02 04:03:00,Lucknow,North,Home Goods,Non-stick Pan,13.0,2292.19,0.0,29798.47,8966.41,V. Reddy
ORD108077,2023-01-02 04:17:00,Lucknow,North,Apparel,Denim Jeans,8.0,2155.9,0.0,17247.2,2075.75,S. Nair
